,AAPL,MSFT
2022-09-03 00:00:00+00:00,127.81832442948588,229.9511230494188
2022-09-04 00:00:00+00:00,127.76719932933263,229.90990134541065
2022-09-05 00:00:00+00:00,127.71669618929462,229.86936621514872
2022-09-06 00:00:00+00:00,127.6668093414592,229.8295095399808
2022-09-07 00:00:00+00:00,127.61753315046742,229.79032327288758
2022-09-08 00:00:00+00:00,127.5688620135836,229.75179943810298
2022-09-09 00:00:00+00:00,127.52079036075948,229.71393013073265
2022-09-10 00:00:00+00:00,127.47331265469315,229.67670751637132
2022-09-11 00:00:00+00:00,127.4264233908828,229.64012383071875
2022-09-12 00:00:00+00:00,127.38011709767575,229.60417137919444
2022-09-13 00:00:00+00:00,127.33438833631196,229.56884253655096
2022-09-14 00:00:00+00:00,127.28923170096324,229.53412974648646
2022-09-15 00:00:00+00:00,127.24464181876735,229.50002552125588
2022-09-16 00:00:00+00:00,127.20061334985748,229.46652244128134
2022-09-17 00:00:00+00:00,127.15714098738727,229.43361315476153
2022-09-18 00:00:00+00:00,127.1142194575511,229.40129037728013
2022-09-19 00:00:00+00:00,127.07184351960014,229.36954689141382
2022-09-20 00:00:00+00:00,127.03000796585387,229.33837554633908
2022-09-21 00:00:00+00:00,126.98870762170752,229.30776925743862
2022-09-22 00:00:00+00:00,126.9479373456352,229.2777210059073
2022-09-23 00:00:00+00:00,126.90769202918888,229.2482238383571
2022-09-24 00:00:00+00:00,126.8679665969936,229.219270866422
2022-09-25 00:00:00+00:00,126.82875600673826,229.1908552663623
2022-09-26 00:00:00+00:00,126.79005524916312,229.16297027866852
2022-09-27 00:00:00+00:00,126.75185934804288,229.135609207665
2022-09-28 00:00:00+00:00,126.71416336016668,229.10876542111333
2022-09-29 00:00:00+00:00,126.67696237531375,229.08243234981552
2022-09-30 00:00:00+00:00,126.64025151622621,229.05660348721673
2022-10-01 00:00:00+00:00,126.60402593857773,229.03127238900865
2022-10-02 00:00:00+00:00,126.56828083093907,229.0064326727319
2022-10-03 00:00:00+00:00,126.53301141474029,228.98207801737908
